graph,alpha,iterations,time_seconds
isolated-2000,0.5,17,637.7310712337494
isolated-2000,0.7,30,636.5674748420715
isolated-2000,0.85,64,641.4287257194519
isolated-2000,0.9,96,656.3490586280823
